File,Model,Gap,Slice_size,Count,Precision,Recall,F-score,True Count,Error Rate
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,20,125,5000,0.574846625767,0.663715247034,0.616092709789,1940,0.3318
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,40,125,5000,0.49554941682,0.571808039667,0.530954534243,1940,0.3974
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,80,125,5000,0.449158137999,0.481848769258,0.4649295173,1940,0.4286
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_125px_model400x50.ckpt,120,125,5000,0.429128333073,0.487338409775,0.456384742952,1940,0.4436
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,0,125,7000,0.655638289706,0.920763260026,0.765905931937,2482,0.181142857143
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,5,125,5000,0.663974398049,0.757343994438,0.707592367032,2037,0.2468
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,10,125,5000,0.674644467569,0.676168955328,0.675405851202,2037,0.2644
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,20,125,5000,0.622226297451,0.589779245611,0.605568445476,2037,0.3284
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,40,125,5000,0.560580365555,0.517121501825,0.537974683544,2037,0.3544
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,80,125,5000,0.459973378969,0.420476273249,0.439338903015,2037,0.4232
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120510-ML499__003.jpg,/Users/il239838/Development/models/ML499__003_125px_model400x50.ckpt,120,125,5000,0.496184662343,0.452111941596,0.47312414734,2037,0.3806
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,0,125,7000,0.575871582644,0.990081931867,0.728195369489,2482,0.253428571429
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,5,125,5000,0.546345995045,0.920041717365,0.685577358979,2037,0.3284
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,10,125,5000,0.58253347553,0.854510690075,0.692784667418,2037,0.3104
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,20,125,5000,0.583947474206,0.757517816791,0.659503631961,2037,0.3454
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,40,125,5000,0.532190579026,0.685381540066,0.599149065492,2037,0.3674
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,80,125,5000,0.462854635858,0.550147749001,0.502740052418,2037,0.4344
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_125px_model400x50.ckpt,120,125,5000,0.481648337088,0.631844255171,0.546616541353,2037,0.4204
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_125px_model400x50.ckpt,0,125,7000,0.772523271277,0.993161662571,0.86905708008,2570,0.0994285714286
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_125px_model400x50.ckpt,5,125,5000,0.765289004118,0.872695652174,0.815470870236,2041,0.1814
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_125px_model400x50.ckpt,10,125,5000,0.752849002849,0.735304347826,0.743973253563,2041,0.2224
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_125px_model400x50.ckpt,20,125,5000,0.738716356108,0.62052173913,0.674480151229,2041,0.275
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_125px_model400x50.ckpt,40,125,5000,0.60632725749,0.503304347826,0.550033260477,2041,0.3422
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_125px_model400x50.ckpt,80,125,5000,0.538935830098,0.410434782609,0.465988745187,2041,0.3912
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_125px_model400x50.ckpt,120,125,5000,0.50128921358,0.405739130435,0.448481353326,2041,0.4002
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_125px_model400x50.ckpt,0,125,7000,0.767171030262,0.972940922812,0.85788973384,2482,0.103428571429
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_125px_model400x50.ckpt,5,125,5000,0.727019041366,0.769859203894,0.747826086957,2037,0.2142
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_125px_model400x50.ckpt,10,125,5000,0.702252693438,0.623153137493,0.660342604531,2037,0.2638
